,,,,,,
,,,,,,
Date,Slice,Tiles X,Tiles Y,Origin,Speed,Oscillations
3/23/2024,1,2,4,,3,7
3/23/2024,2,2,4,,3,7
3/23/2024,3,2,4,,3,7
3/23/2024,4,2,4,,,
3/23/2024,5,2,4,,,
3/23/2024,6,2,4,,,
3/23/2024,7,2,4,,,
3/23/2024,8,2,4,,,
3/23/2024,9,3,4,,,
3/23/2024,10,3,4,,,
3/23/2024,11,3,4,,,
3/25/2024,12,3,4,,,
3/25/2024,13,3,4,,,
3/25/2024,14,3,4,,,
3/25/2024,15,3,4,,,
3/25/2024,16,3,4,,,
3/25/2024,17,3,4,,,
3/25/2024,18,3,4,,,
3/25/2024,19,3,4,,,
3/25/2024,20,3,5,,,
3/25/2024,21,3,5,,,
3/25/2024,22,3,5,,,
3/25/2024,23,3,5,,,
3/25/2024,24,3,5,,,
3/25/2024,25,3,6,,,
3/25/2024,26,3,6,,,
3/25/2024,27,3,6,,,
3/25/2024,28,3,6,,,
3/25/2024,29,3,6,,,
3/25/2024,30,3,6,,,
3/25/2024,31,3,6,,,
3/25/2024,32,3,6,,,
3/25/2024,33,4,6,,,
3/25/2024,34,4,6,,,
3/25/2024,35,4,6,,,
3/25/2024,36,4,6,,,
3/25/2024,37,4,6,,,
3/25/2024,38,4,6,,,
3/25/2024,39,4,6,,,
3/25/2024,40,4,6,,,
3/25/2024,41,4,6,,,
3/25/2024,42,4,6,,,
3/25/2024,43,4,6,,,
3/26/2024,44,4,6,,,
3/26/2024,45,4,6,,,
3/26/2024,46,4,6,,,
3/26/2024,47,4,6,,,
3/26/2024,48,4,6,,,
3/26/2024,49,4,6,,,
3/26/2024,50,4,6,,,
3/26/2024,51,4,6,,,
3/26/2024,52,4,6,,,
3/26/2024,53,4,6,,,
3/26/2024,54,4,6,,,
3/26/2024,55,4,6,,,
3/26/2024,56,4,6,,,
3/26/2024,57,4,6,,,
3/26/2024,58,4,6,,,
3/26/2024,59,4,6,,,
3/26/2024,60,4,6,,,
3/26/2024,61,4,6,,,
3/26/2024,62,4,6,,,
3/26/2024,63,4,6,,,
3/26/2024,64,4,6,,,
3/26/2024,65,4,6,,,
3/26/2024,66,4,6,,,
3/26/2024,67,4,6,,,
3/26/2024,68,4,6,,,
3/26/2024,69,4,6,,,
3/26/2024,70,4,6,,,
3/26/2024,71,4,6,,,
3/26/2024,72,4,6,,,
3/26/2024,73,4,6,,,
3/26/2024,74,4,6,,,
3/26/2024,75,4,6,,,
3/27/2024,76,4,6,,,
3/27/2024,77,4,6,,,
3/27/2024,78,4,6,,,
3/27/2024,79,4,6,,,
3/27/2024,80,4,6,,,
3/27/2024,81,5,6,,,
3/27/2024,82,5,6,,,
3/27/2024,83,5,6,,,
3/27/2024,84,5,6,,,
3/27/2024,85,5,6,,,
3/27/2024,86,5,6,,,
3/27/2024,87,5,6,,,
3/27/2024,88,5,6,,,
3/27/2024,89,5,6,,,
3/27/2024,90,5,6,,,
3/27/2024,91,5,7,,,
3/27/2024,92,5,7,,,
3/27/2024,93,5,7,,,
3/27/2024,94,5,7,,,
3/27/2024,95,5,7,,,
3/28/2024,96,5,7,,,
3/28/2024,97,5,7,,,
3/28/2024,98,5,7,,,
3/28/2024,99,5,7,,,
3/28/2024,100,5,7,,,
3/28/2024,101,5,7,,,
3/28/2024,102,5,7,,,
3/28/2024,103,5,7,,,
3/28/2024,104,5,7,,,
3/28/2024,105,5,7,,,
3/28/2024,106,5,7,,,
3/28/2024,107,5,7,,,
3/28/2024,108,5,7,,,
3/28/2024,109,5,7,,,
3/28/2024,110,5,7,,,
3/28/2024,111,5,7,,,
3/28/2024,112,5,7,,,
3/28/2024,113,5,7,,,
3/28/2024,114,5,7,,,
3/28/2024,115,5,7,,,
3/28/2024,116,5,7,,,
3/28/2024,117,5,7,,,
3/28/2024,118,5,7,,,
3/28/2024,119,5,7,,,
3/28/2024,120,5,7,,,
3/29/2024,121,5,7,,,
3/29/2024,122,5,7,,,
3/29/2024,123,5,7,,,
3/29/2024,124,5,7,,,
3/29/2024,125,5,7,,,
3/29/2024,126,5,7,,,
3/29/2024,127,6,8,,,
3/29/2024,128,6,8,,,
3/29/2024,129,6,8,,,
3/29/2024,130,6,8,,,
3/29/2024,131,6,8,,,
3/29/2024,132,6,8,,,
3/29/2024,133,6,8,,,
3/29/2024,134,6,8,,,
3/29/2024,135,6,8,,,
3/29/2024,136,6,9,,,
3/29/2024,137,6,9,,,
3/29/2024,138,6,9,,,
3/29/2024,139,6,9,,,
3/29/2024,140,6,9,,,
3/29/2024,141,6,9,,,
3/29/2024,142,6,9,,,
3/29/2024,143,6,9,,,
3/29/2024,144,6,9,,,
3/29/2024,145,6,9,,,
3/31/2024,146,6,9,,,
3/31/2024,147,6,9,,,
3/31/2024,148,6,9,,,
3/31/2024,149,6,9,,,
3/31/2024,150,6,9,,,
3/31/2024,151,6,9,,,
3/31/2024,152,6,9,,,
3/31/2024,153,6,9,,,
4/1/2024,154,6,9,,,
4/1/2024,155,6,9,,,
4/1/2024,156,6,9,,,
4/1/2024,157,6,9,,,
4/1/2024,158,6,9,,,
4/1/2024,159,6,9,,,
4/1/2024,160,7,9,,,
4/1/2024,161,7,9,,,
4/1/2024,162,7,9,,,
4/1/2024,163,7,9,,,
4/1/2024,164,7,9,,,
