,,,,,,,,,,,,
,,,,,,,,Compresstome,,,,
Date,Slice,Tiles X,Tiles Y,ImPos X,ImPos Y,Slice Size X,Slice Size Y,Speed,Osc,Comments,,
6/22/2025,1,4,6,36.1593,97.5541,,,,,,,
6/22/2025,2,4,6,,,,,,,,,
6/22/2025,3,4,6,,,,,,,,,
6/22/2025,4,4,6,,,,,,,,,
6/22/2025,5,4,6,,,,,,,,,
6/22/2025,6,4,6,,,,,,,,,
6/23/2025,7,4,7,36.593,92.4734,,,,,,,
6/23/2025,8,5,8,,,,,,,,,
6/23/2025,9,5,8,,,,,,,,,
6/23/2025,10,5,8,,,,,,,,,
6/23/2025,11,5,8,,,,,,,,,
6/23/2025,12,5,8,,,,,,,,,
6/24/2024,13,6,8,31.0633,95.4734,,,,,,,
6/24/2024,14,6,8,,,,,,,,,
6/24/2024,15,6,8,,,,,,,,,
6/24/2024,16,6,8,,,,,,,,,
6/24/2024,17,6,10,31.0633,87.3928,,,,,,,
6/24/2024,18,6,10,,,,,,,,,
6/24/2024,19,6,10,,,,,,,,,
6/24/2024,20,6,10,,,,,,,,,
6/25/2025,21,6,10,31.0633,87.3928,,,3,7,sliced 150um as the tissue sank down (just few small chunks of the tissue got cut),,
6/25/2025,22,6,10,,,,,,,,,
6/25/2025,23,6,10,,,,,,,,,
6/25/2025,24,6,10,,,,,,,,,
6/25/2025,25,6,10,,,,,2.5,6,temp chiller - 10,,
6/25/2025,26,6,11,,,,,2.5,7,,,
6/25/2025,27,6,11,,,,,,,temp chiller - 8,,
6/25/2025,28,7,11,26.0633,87.3928,,,2,8,,,
6/25/2025,29,8,11,,,,,,,,,
6/25/2025,30,8,11,,,,,,,,,
6/26/2025,31,8,11,26.0633,87.3928,,,2,8,,ImPos Z (101.691),
6/26/2025,32,8,11,,,,,,,,,
6/26/2025,33,8,11,,,,,,,,,
6/26/2025,34,8,11,,,,,,,,,
6/26/2025,35,8,11,,,,,,,,,
6/26/2025,36,8,11,,,,,,,,,
6/26/2025,37,8,11,,,,,,,,,
6/26/2025,38,8,11,,,,,,,,,
6/26/2025,39,8,11,,,,,,,,,
6/26/2025,40,8,11,,,,,,,,,
6/27/2025,41,8,12,26.0633,82.3928,,,2,8,,,
6/27/2025,42,8,12,,,,,,,,,
6/27/2025,43,8,12,,,,,,,,,
6/27/2025,44,8,12,,,,,,,,,
6/27/2025,45,8,12,,,,,,,shadow of small pieces on this slice,,
6/27/2025,46,8,12,,,,,,,,,
6/30/2025,47,8,12,26.0633,82.3928,,,,,,,
6/30/2025,48,8,12,,,,,,,,,
6/30/2025,49,8,12,,,,,,,,,
6/30/2025,50,8,12,,,,,,,,,
6/30/2025,51,8,13,,,,,,,,,
6/30/2025,52,8,13,,,,,,,,,
6/30/2025,53,8,13,,,,,,,,,
6/30/2025,54,8,13,,,,,,,,,
6/30/2025,55,8,13,,,,,,,,,
7/1/2025,56,9,14,21.0633,77.3928,,,,,,,
7/1/2025,57,9,14,,,,,,,,,
7/1/2025,58,9,14,,,,,,,,,
7/1/2025,59,9,14,,,,,,,,,
7/1/2025,60,9,14,,,,,,,,,
7/1/2025,61,9,14,,,,,,,,,
7/1/2025,62,9,14,,,,,,,,,
7/1/2025,63,9,14,,,,,,,,,
7/1/2025,64,9,14,,,,,,,,,
7/1/2025,65,9,14,,,,,,,,,
7/2/2025,66,9,14,21.0593,77.3926,,,,,,Z POSITION - 102.091,
7/2/2025,67,9,14,,,,,,,,,
7/2/2025,68,9,14,,,,,,,,,
7/2/2025,69,9,14,,,,,,,,,
7/2/2025,70,9,14,,,,,,,,,
7/3/2025,71,9,14,,,,,,,,,
7/3/2025,72,9,14,,,,,,,,,
7/3/2025,73,9,14,,,,,,,,,
7/3/2025,74,9,14,,,,,,,,,
7/3/2025,75,9,14,,,,,,,,,
7/7/2025,76,9,14,21.0593,77.3926,,,,,,,
7/7/2025,77,9,14,,,,,,,,,
7/7/2025,78,9,14,,,,,,,,,
7/7/2025,79,9,14,,,,,,,,,
7/7/2025,80,9,14,,,,,,,,,
7/7/2025,81,9,14,,,,,,,,,
7/7/2025,82,9,14,,,,,,,,z position - 101.791,
7/7/2025,83,9,14,,,,,,,,,
7/7/2025,84,9,14,,,,,,,,,
7/7/2025,85,9,14,,,,,,,,,
7/8/2025,86,9,14,,,,,,,,,
7/8/2025,87,9,14,,,,,,,,,
7/8/2025,88,9,14,,,,,,,,101.741,leveled the x direction 
7/8/2025,89,9,14,,,,,,,,101.791,
7/8/2025,90,9,14,,,,,,,,,
7/9/2025,91,9,14,21.0593,77.3926,,,,,,missed a corner (computer restarted),
7/9/2025,92,9,14,21.0593,72.3926,,,,,,z position - 101.291,
7/9/2025,93,9,14,,,,,,,,,
7/9/2025,94,9,14,,,,,,,,,
7/10/2025,95,9,14,21.0593,72.3926,,,,2,8,z position - 101.191,
7/10/2025,96,9,14,,,,,,,,101.251,
7/10/2025,97,9,14,,,,,,,,101.241,
7/10/2025,98,9,14,,,,,,,,,
7/10/2025,99,9,14,,,,,,,,slice cut was bad,
7/10/2025,100,9,14,,,,,,,,,
7/10/2025,101,9,14,,,,,,,,,
7/10/2025,102,9,14,,,,,,,,,
7/10/2025,103,8,14,,,,,,,,,
7/10/2025,104,8,14,,,,,,,,,
7/10/2025,105,8,14,,,,,,,,,
7/15/2025,106,8,14,,,,,,,,,slice was thinner - so sliced an extra 50um
7/15/2025,107,8,14,21.0593,72.3926,,,,,,z position - 101.171,
7/15/2025,108,8,14,,,,,,,,,
7/16/2025,109,8,14,,,,,,,,,added extra gel to secure the tissue (closer to midline)
7/16/2025,110,8,14,,,,,,,,,
7/16/2025,111,8,14,,,,,,,,,
7/17/2025,112,8,14,21.0593,72.3926,,,,,,z position - 100.481,
7/17/2025,113,8,14,,,,,,,,,
7/17/2025,114,8,14,,,,,,,,,
7/17/2025,115,8,14,,,,,,,,,
7/17/2025,116,8,14,,,,,,,,,
7/17/2025,117,8,14,,,,,,,,,
7/18/2025,118,8,14,21.0593	72.3926,,,,,,,z position - 100.231,
7/18/2025,119,8,14,,,,,,,,,
7/18/2025,120,8,14,,,,,,,,,
7/18/2025,121,8,14,,,,,,,,,
7/18/2025,122,9,14,,,,,,,,,
7/18/2025,123,9,14,,,,,,,,,
7/18/2025,124,9,14,,,,,,,,,
7/21/2025,125,9,14,21.0593        72.3926,,,,,,,,
7/21/2025,126,9,14,,,,,,,,,
7/21/2025,127,9,14,,,,,,,,,
7/21/2025,128,9,14,,,,,,,,,
7/21/2025,129,9,14,,,,,,,,,
7/21/2025,130,9,13,,,,,,,,,plunger dint move so the slice is thicker
7/22/2025,131,9,13,,,,,,,,,
7/22/2025,132,9,13,,,,,,,,,
7/22/2025,133,9,13,,,,,,,,,had to restart labview due to an error.
7/22/2025,134,9,13,,,,,,,,,
7/22/2025,135,9,13,,,,,,,,z position - 100.855,
7/23/2025,136,9,13,,,,,,,,,
7/23/2025,137,9,14,,,,,,,,,
7/23/2025,138,9,14,,,,,,,,,"one tile is bad, but no data in there. (cut twice) plunger dint move up 200um."
7/23/2025,139,9,14,,,,,,,,,
7/23/2025,140,9,14,,,,,,,,,
7/23/2025,141,9,14,,,,,,,,,"plunger dint move - very thin slices cut , so moved the plunger twice"
